epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,9190.26,0.71319,0.90393,1.02622,0.77478,0.75403,0.78868,0.63223,0.66425,0.71705,0.9155,0.000289178,0.000289178,0.000289178
79,9291.47,0.72058,0.89432,1.02553,0.77279,0.74167,0.77158,0.61979,0.66523,0.75604,0.91877,0.000285298,0.000285298,0.000285298
80,9394.19,0.70632,0.88265,1.01984,0.75308,0.79082,0.78421,0.63396,0.6628,0.74358,0.91571,0.000281417,0.000281417,0.000281417
81,9494.6,0.70034,0.89273,1.02019,0.73842,0.78876,0.77564,0.62752,0.6579,0.73928,0.91786,0.000277536,0.000277536,0.000277536
82,9595.8,0.7006,0.87309,1.01825,0.73246,0.78331,0.77041,0.6285,0.65226,0.75315,0.91313,0.000273655,0.000273655,0.000273655
83,9696.66,0.70396,0.88354,1.02119,0.76029,0.76025,0.77176,0.61959,0.66342,0.75455,0.91977,0.000269774,0.000269774,0.000269774
84,9797.34,0.68601,0.85373,1.01353,0.75917,0.76831,0.77384,0.62583,0.65528,0.76166,0.91682,0.000265894,0.000265894,0.000265894
85,9898.28,0.69327,0.85811,1.01206,0.74471,0.77803,0.78043,0.63409,0.6524,0.72119,0.9157,0.000262013,0.000262013,0.000262013
86,9998.1,0.69529,0.85606,1.01953,0.75985,0.76174,0.78293,0.64013,0.6564,0.73692,0.90943,0.000258132,0.000258132,0.000258132
87,10099,0.68968,0.86289,1.01335,0.78586,0.74477,0.78546,0.63657,0.658,0.71927,0.91372,0.000254251,0.000254251,0.000254251
88,10200.5,0.69226,0.85775,1.01689,0.78329,0.76857,0.77797,0.63011,0.65284,0.72687,0.91414,0.00025037,0.00025037,0.00025037
89,10301,0.69176,0.86467,1.01772,0.75033,0.74996,0.76072,0.61875,0.65573,0.74813,0.9136,0.00024649,0.00024649,0.00024649
90,10401.2,0.68711,0.84836,1.0126,0.74962,0.76835,0.7652,0.61953,0.65529,0.74174,0.91271,0.000242609,0.000242609,0.000242609
91,10501.7,0.67759,0.83845,1.00773,0.77924,0.7515,0.76603,0.62023,0.64553,0.73463,0.91259,0.000238728,0.000238728,0.000238728
92,10602.4,0.67705,0.84248,1.00572,0.7791,0.76311,0.7852,0.63635,0.64609,0.72726,0.9138,0.000234847,0.000234847,0.000234847
93,10702.7,0.68065,0.8385,1.00661,0.78538,0.77818,0.78906,0.63781,0.64272,0.70604,0.91474,0.000230966,0.000230966,0.000230966
94,10803.6,0.67485,0.83465,1.00691,0.77948,0.79328,0.79222,0.64382,0.6454,0.69643,0.91242,0.000227086,0.000227086,0.000227086
95,10904.7,0.66505,0.81512,1.00182,0.77343,0.75775,0.78597,0.64015,0.64467,0.72677,0.91194,0.000223205,0.000223205,0.000223205
96,11004.9,0.66489,0.80803,0.99606,0.77205,0.77698,0.77454,0.63527,0.6393,0.71617,0.91152,0.000219324,0.000219324,0.000219324
97,11106.3,0.66133,0.83019,1.00318,0.77804,0.76913,0.78929,0.64286,0.64747,0.70302,0.91398,0.000215443,0.000215443,0.000215443
98,11206.2,0.65627,0.81404,0.99967,0.78506,0.76612,0.78192,0.64006,0.64213,0.71288,0.91451,0.000211562,0.000211562,0.000211562
99,11306.6,0.65825,0.80736,0.99824,0.79994,0.76098,0.791,0.64557,0.63919,0.73516,0.9135,0.000207682,0.000207682,0.000207682
100,11408,0.6482,0.79442,0.99041,0.7849,0.80363,0.79296,0.65269,0.63583,0.70548,0.90886,0.000203801,0.000203801,0.000203801
101,11509.8,0.64514,0.78941,0.9961,0.7785,0.79392,0.78783,0.64825,0.64758,0.71281,0.9113,0.00019992,0.00019992,0.00019992
102,11610.4,0.6507,0.79068,0.99348,0.8205,0.76847,0.80516,0.65981,0.64023,0.70672,0.91014,0.000196039,0.000196039,0.000196039
103,11710.9,0.64564,0.79865,0.99224,0.82177,0.75688,0.79672,0.65115,0.63522,0.70201,0.91019,0.000192158,0.000192158,0.000192158
104,11811.8,0.64226,0.79097,0.99209,0.77127,0.79124,0.7879,0.64835,0.63953,0.7026,0.91228,0.000188278,0.000188278,0.000188278
105,11912.5,0.64014,0.77921,0.98905,0.79257,0.77725,0.78185,0.64329,0.64265,0.72042,0.91024,0.000184397,0.000184397,0.000184397
106,12014.9,0.63481,0.77239,0.98606,0.78569,0.75903,0.77735,0.63533,0.64274,0.72897,0.90874,0.000180516,0.000180516,0.000180516
107,12115.7,0.63338,0.77243,0.98754,0.75823,0.76808,0.76133,0.62416,0.64612,0.74873,0.91468,0.000176635,0.000176635,0.000176635
108,12215.9,0.62688,0.75875,0.98995,0.77716,0.75183,0.7614,0.62336,0.64356,0.7557,0.91211,0.000172754,0.000172754,0.000172754
109,12317.2,0.63038,0.7573,0.98495,0.78385,0.78373,0.78168,0.64592,0.64182,0.7311,0.91126,0.000168874,0.000168874,0.000168874
110,12417.8,0.63222,0.7562,0.988,0.77716,0.79205,0.77917,0.64428,0.63688,0.74102,0.90979,0.000164993,0.000164993,0.000164993
111,12519.2,0.62397,0.75095,0.98067,0.79717,0.78766,0.78559,0.64946,0.63249,0.72041,0.90928,0.000161112,0.000161112,0.000161112
112,12621.7,0.61389,0.75255,0.98038,0.82511,0.75461,0.78564,0.65143,0.63585,0.71523,0.90904,0.000157231,0.000157231,0.000157231
113,12722.6,0.61129,0.73605,0.97761,0.78764,0.76987,0.78439,0.65162,0.63532,0.73153,0.90735,0.00015335,0.00015335,0.00015335
114,12824,0.61906,0.74754,0.98287,0.79595,0.76967,0.78167,0.6439,0.63509,0.72969,0.90871,0.00014947,0.00014947,0.00014947
115,12926.4,0.61167,0.7404,0.9746,0.77758,0.77293,0.77709,0.64045,0.63594,0.74172,0.91131,0.000145589,0.000145589,0.000145589
116,13027.8,0.6165,0.73907,0.9812,0.78588,0.76969,0.77783,0.63789,0.64084,0.73747,0.90874,0.000141708,0.000141708,0.000141708
117,13128,0.60943,0.73579,0.97504,0.76232,0.79454,0.78362,0.65004,0.6315,0.71581,0.90397,0.000137827,0.000137827,0.000137827
118,13228.9,0.60105,0.72095,0.97071,0.81683,0.76735,0.78161,0.64932,0.63262,0.71708,0.90644,0.000133946,0.000133946,0.000133946
119,13329.1,0.60018,0.72545,0.97085,0.80884,0.75724,0.77706,0.64098,0.63751,0.7333,0.91141,0.000130066,0.000130066,0.000130066
120,13429.8,0.60578,0.73089,0.97538,0.79366,0.77913,0.77509,0.63774,0.63837,0.72377,0.91173,0.000126185,0.000126185,0.000126185
121,13531,0.59836,0.71688,0.96821,0.78224,0.78043,0.77596,0.64022,0.63704,0.73201,0.90984,0.000122304,0.000122304,0.000122304
122,13630.8,0.59346,0.72091,0.97205,0.79653,0.77754,0.77971,0.64315,0.63648,0.73925,0.90915,0.000118423,0.000118423,0.000118423
123,13732.1,0.59128,0.70829,0.96812,0.79689,0.78344,0.79143,0.65406,0.63409,0.7214,0.90935,0.000114542,0.000114542,0.000114542
124,13832.8,0.59569,0.71449,0.97177,0.81462,0.76099,0.78395,0.64934,0.62995,0.7323,0.90777,0.000110662,0.000110662,0.000110662
125,13934.1,0.58834,0.70593,0.96636,0.81203,0.75521,0.7804,0.64681,0.63122,0.73332,0.90729,0.000106781,0.000106781,0.000106781
126,14034.5,0.58645,0.70085,0.96517,0.81631,0.75735,0.78749,0.65493,0.63018,0.72147,0.90767,0.0001029,0.0001029,0.0001029
127,14135.4,0.58782,0.68979,0.96445,0.80377,0.75861,0.7835,0.65224,0.62822,0.73245,0.90489,9.90192e-05,9.90192e-05,9.90192e-05
128,14236.4,0.5809,0.69185,0.96333,0.80495,0.76683,0.77886,0.64869,0.6264,0.73255,0.90538,9.51384e-05,9.51384e-05,9.51384e-05
129,14336.2,0.57922,0.69209,0.96228,0.80994,0.76328,0.78653,0.65193,0.62812,0.72016,0.90896,9.12576e-05,9.12576e-05,9.12576e-05
130,14437,0.57842,0.68745,0.96749,0.81024,0.76737,0.78028,0.64996,0.62848,0.72795,0.9099,8.73768e-05,8.73768e-05,8.73768e-05
131,14538.1,0.57263,0.68718,0.96198,0.79002,0.78094,0.77857,0.64603,0.62603,0.73727,0.91096,8.3496e-05,8.3496e-05,8.3496e-05
132,14639,0.57801,0.67941,0.96159,0.80862,0.76869,0.77801,0.64726,0.62394,0.74084,0.90941,7.96152e-05,7.96152e-05,7.96152e-05
